Name,Position,Team,URL
Brenden Aaronson,MF,Leeds United,/en/players/5bc43860/Brenden-Aaronson
Yunis Abdelhamid,DF,Reims,/en/players/32c2d95f/Yunis-Abdelhamid
Himad Abdelli,MF,Angers,/en/players/7978cbf0/Himad-Abdelli
Salis Abdul Samed,MF,Lens,/en/players/82464ce3/Salis-Abdul-Samed
Laurent Abergel,MF,Lorient,/en/players/31626657/Laurent-Abergel
Matthis Abline,FW,Auxerre,/en/players/0e46fa2f/Matthis-Abline
Matthis Abline,FW,Rennes,/en/players/0e46fa2f/Matthis-Abline
Zakaria Aboukhlal,FW,Toulouse,/en/players/c2a6033c/Zakaria-Aboukhlal
Tammy Abraham,FW,Roma,/en/players/f586779e/Tammy-Abraham
Francesco Acerbi,DF,Inter,/en/players/b96b595c/Francesco-Acerbi
Mohamed Achi,FW,Nantes,/en/players/1e93fc5d/Mohamed-Achi
Marcos Acuña,DF,Sevilla,/en/players/81442ecb/Marcos-Acuna
Che Adams,FW,Southampton,/en/players/f2bf1b0f/Che-Adams
Tyler Adams,MF,Leeds United,/en/players/2b09d998/Tyler-Adams
Sargis Adamyan,FW,Köln,/en/players/22919e97/Sargis-Adamyan
Tosin Adarabioyo,DF,Fulham,/en/players/c81d773d/Tosin-Adarabioyo
Martin Adeline,MF,Reims,/en/players/7587446d/Martin-Adeline
Karim Adeyemi,FW,Dortmund,/en/players/501055d8/Karim-Adeyemi
Amine Adli,FW,Leverkusen,/en/players/dcfb17f4/Amine-Adli
Yacine Adli,MF,Milan,/en/players/26777636/Yacine-Adli
Michel Aebischer,FW,Bologna,/en/players/f9c927de/Michel-Aebischer
Felix Afena-Gyan,FW,Cremonese,/en/players/0154d290/Felix-Afena-Gyan
Emmanuel Agbadou,DF,Reims,/en/players/75f1ed80/Emmanuel-Agbadou
Lucien Agoume,MF,Troyes,/en/players/8bc8829a/Lucien-Agoume
Felix Agu,DF,Werder Bremen,/en/players/cb6d81b3/Felix-Agu
Álvaro Aguado,MF,Valladolid,/en/players/014aa7bd/Alvaro-Aguado
Kevin Agudelo,MF,Spezia,/en/players/46fa7204/Kevin-Agudelo
Nayef Aguerd,DF,West Ham,/en/players/288e1e13/Nayef-Aguerd
Ruben Aguilar,DF,Monaco,/en/players/3dd738a1/Ruben-Aguilar
Naouirou Ahamada,MF,Stuttgart,/en/players/a6c58494/Naouirou-Ahamada
Amar Ahmed,FW,Troyes,/en/players/22396615/Amar-Ahmed
Jean-Eudes Aholou,MF,Strasbourg,/en/players/48b28bfd/Jean-Eudes-Aholou
Joseph Aidoo,DF,Celta Vigo,/en/players/18abe173/Joseph-Aidoo
Ola Aina,DF,Torino,/en/players/246d153b/Ola-Aina
Rayan Aït Nouri,DF,Wolves,/en/players/9b398aea/Rayan-Ait-Nouri
Emanuel Aiwum,DF,Cremonese,/en/players/d810c13b/Emanuel-Aiwum
Kristoffer Ajer,DF,Brentford,/en/players/a8c0acb7/Kristoffer-Ajer
Ludovic Ajorque,FW,Strasbourg,/en/players/462475ed/Ludovic-Ajorque
Manuel Akanji,DF,Manchester City,/en/players/89ac64a6/Manuel-Akanji
Nathan Aké,DF,Manchester City,/en/players/eaeca114/Nathan-Ake
Sergio Akieme,DF,Almería,/en/players/06efa9dc/Sergio-Akieme
Maghnes Akliouche,MF,Monaco,/en/players/b625b241/Maghnes-Akliouche
Paul Akouokou,MF,Betis,/en/players/31f5b89b/Paul-Akouokou
Jean-Daniel Akpa-Akpro,MF,Empoli,/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro
Kevin Akpoguma,DF,Hoffenheim,/en/players/6ec6fde0/Kevin-Akpoguma
David Alaba,DF,Real Madrid,/en/players/05439de2/David-Alaba
Tomás Alarcón,MF,Cádiz,/en/players/99ea2ddd/Tomas-Alarcon
Lucas Alario,FW,Eint Frankfurt,/en/players/834d0be5/Lucas-Alario
Jordi Alba,DF,Barcelona,/en/players/4601e194/Jordi-Alba
Luis Alberto,MF,Lazio,/en/players/5294a83f/Luis-Alberto
Raúl Albiol,DF,Villarreal,/en/players/4bd414c1/Raul-Albiol
Marc Albrighton,FW,Leicester City,/en/players/b827d5b3/Marc-Albrighton
Thiago Alcántara,MF,Liverpool,/en/players/77e84962/Thiago-Alcantara
Carlos Alcaraz,MF,Southampton,/en/players/4abac767/Carlos-Alcaraz
Rubén Alcaraz,MF,Cádiz,/en/players/036bba5f/Ruben-Alcaraz
Omar Alderete,DF,Getafe,/en/players/bb08bce9/Omar-Alderete
Iván Alejo,MF,Cádiz,/en/players/3d7e48ce/Ivan-Alejo
Doğan Alemdar,GK,Rennes,/en/players/9e17ccff/Dogan-Alemdar
Carles Aleñá,MF,Getafe,/en/players/6c811eb7/Carles-Alena
Trent Alexander-Arnold,DF,Liverpool,/en/players/cd1acf9d/Trent-Alexander-Arnold
Alejandro Alfaro,MF,Elche,/en/players/b907d169/Alejandro-Alfaro
Ángel Algobia,MF,Getafe,/en/players/acc1aefa/Angel-Algobia
Mohamed Ali Cho,FW,Real Sociedad,/en/players/f8405304/Mohamed-Ali-Cho
Faride Alidou,DF,Eint Frankfurt,/en/players/00f518d8/Faride-Alidou
Alisson,GK,Liverpool,/en/players/7a2e46a8/Alisson
Jim Allevinah,FW,Clermont Foot,/en/players/1956b948/Jim-Allevinah
Dele Alli,MF,Everton,/en/players/cea4ee8f/Dele-Alli
Domingos André Ribeiro Almeida,MF,Valencia,/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida
Miguel Almirón,FW,Newcastle Utd,/en/players/862a1c15/Miguel-Almiron
Marcos Alonso,DF,Barcelona,/en/players/f4290206/Marcos-Alonso
Mickaël Alphonse,DF,Ajaccio,/en/players/0a63446f/Mickael-Alphonse
Carlos Álvarez,FW,Sevilla,/en/players/629081bd/Carlos-Alvarez
Gastón Álvarez,DF,Getafe,/en/players/852ddfb8/Gaston-Alvarez
Julián Álvarez,FW,Manchester City,/en/players/15ab5a2b/Julian-Alvarez
Agustín Álvarez Martínez,FW,Sassuolo,/en/players/ab472696/Agustin-Alvarez-Martinez
Yeray Álvarez,DF,Athletic Club,/en/players/3ecc11d8/Yeray-Alvarez
Ibrahim Amadou,DF,Angers,/en/players/9260926b/Ibrahim-Amadou
Daniel Amartey,DF,Leicester City,/en/players/1a4ef233/Daniel-Amartey
Amath,MF,Mallorca,/en/players/f3b1d9a2/Amath
Jordan Amavi,DF,Getafe,/en/players/22721b88/Jordan-Amavi
Kelvin Amian,DF,Spezia,/en/players/bcc81786/Kelvin-Amian
Bruno Amione,DF,Hellas Verona,/en/players/2df7cc43/Bruno-Amione
Bruno Amione,DF,Sampdoria,/en/players/2df7cc43/Bruno-Amione
Nadiem Amiri,MF,Leverkusen,/en/players/555d5edd/Nadiem-Amiri
Ethan Ampadu,DF,Spezia,/en/players/10b9fa99/Ethan-Ampadu
Sofyan Amrabat,MF,Fiorentina,/en/players/5a2cb25d/Sofyan-Amrabat
Joachim Andersen,DF,Crystal Palace,/en/players/e34fc66d/Joachim-Andersen
Elliot Anderson,FW,Newcastle Utd,/en/players/de31038e/Elliot-Anderson
Felipe Anderson,FW,Lazio,/en/players/9f1893b9/Felipe-Anderson
Benjamin André,MF,Lille,/en/players/ef9c1c95/Benjamin-Andre
Komnen Andrić,FW,Clermont Foot,/en/players/af3ddb2e/Komnen-Andric
Robert Andrich,MF,Leverkusen,/en/players/e0b113a7/Robert-Andrich
Angeliño,DF,Hoffenheim,/en/players/30941e96/Angelino
Fabrizio Angileri,DF,Getafe,/en/players/fdd26d71/Fabrizio-Angileri
Jaidon Anthony,MF,Bournemouth,/en/players/e4238fb1/Jaidon-Anthony
Janis Antiste,FW,Sassuolo,/en/players/38d9ce53/Janis-Antiste
Waldemar Anton,DF,Stuttgart,/en/players/5e66fa06/Waldemar-Anton
Marcos Antônio,MF,Lazio,/en/players/108fe016/Marcos-Antonio
Michail Antonio,FW,West Ham,/en/players/ac05f970/Michail-Antonio
Antony,FW,Manchester Utd,/en/players/99127249/Antony
Valentin Antov,DF,Monza,/en/players/8f68aa41/Valentin-Antov
Christopher Antwi-Adjei,FW,Bochum,/en/players/0a3f6cde/Christopher-Antwi-Adjei
Anuar,MF,Valladolid,/en/players/c93231dc/Anuar
Houssem Aouar,MF,Lyon,/en/players/a5db0bec/Houssem-Aouar
Adil Aouchiche,MF,Lorient,/en/players/b94b8be1/Adil-Aouchiche
Dennis Appiah,DF,Nantes,/en/players/feb5d3ab/Dennis-Appiah
Mauro Arambarri,MF,Getafe,/en/players/58afe001/Mauro-Arambarri
Charles Aránguiz,MF,Leverkusen,/en/players/56413b1f/Charles-Aranguiz
Ronald Araújo,DF,Barcelona,/en/players/2bef2bca/Ronald-Araujo
Cameron Archer,FW,Aston Villa,/en/players/05e8ca6d/Cameron-Archer
Taïryk Arconte,FW,Brest,/en/players/c5e6c017/Tairyk-Arconte
Alphonse Areola,GK,West Ham,/en/players/2f965a72/Alphonse-Areola
Joe Aribo,MF,Southampton,/en/players/328f7d51/Joe-Aribo
Adam Armstrong,FW,Southampton,/en/players/68c720b5/Adam-Armstrong
Stuart Armstrong,MF,Southampton,/en/players/97333cf5/Stuart-Armstrong
Marko Arnautović,FW,Bologna,/en/players/00459419/Marko-Arnautovic
Maximilian Arnold,MF,Wolfsburg,/en/players/86e119e0/Maximilian-Arnold
Kepa Arrizabalaga,GK,Chelsea,/en/players/28d596a0/Kepa-Arrizabalaga
Roberto Arroyo,MF,Valladolid,/en/players/6091cf45/Roberto-Arroyo
Tolgay Arslan,MF,Udinese,/en/players/963a328b/Tolgay-Arslan
Arthur,FW,Fiorentina,/en/players/a820e429/Arthur
Santiago Arzamendia,MF,Cádiz,/en/players/759d8dd7/Santiago-Arzamendia
Takuma Asano,MF,Bochum,/en/players/13ddc856/Takuma-Asano
Santiago Ascacíbar,MF,Cremonese,/en/players/e26fcca3/Santiago-Ascacibar
Sergio Asenjo,GK,Valladolid,/en/players/9f0ea33f/Sergio-Asenjo
Marco Asensio,FW,Real Madrid,/en/players/45af8a54/Marco-Asensio
Kristoffer Askildsen,MF,Lecce,/en/players/a69cc629/Kristoffer-Askildsen
Fisnik Asllani,FW,Hoffenheim,/en/players/35f67a30/Fisnik-Asllani
Kristjan Asllani,MF,Inter,/en/players/0fdcef0e/Kristjan-Asllani
Iago Aspas,FW,Celta Vigo,/en/players/7dcf86f6/Iago-Aspas
Lorenz Assignon,DF,Rennes,/en/players/b026bbf6/Lorenz-Assignon
Youcef Atal,DF,Nice,/en/players/6a827d8e/Youcef-Atal
Pierre-Emerick Aubameyang,FW,Chelsea,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Pierre-Emerick Aubameyang,FW,Barcelona,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Emil Audero,GK,Sampdoria,/en/players/649b01d8/Emil-Audero
Tommaso Augello,DF,Sampdoria,/en/players/3cd3b384/Tommaso-Augello
Ludwig Augustinsson,DF,Aston Villa,/en/players/9fec8860/Ludwig-Augustinsson
Serge Aurier,DF,Nott'ham Forest,/en/players/5c2b4f07/Serge-Aurier
Mathias Autret,MF,Auxerre,/en/players/7dfbba27/Mathias-Autret
Ezequiel Ávila,FW,Osasuna,/en/players/253a06b9/Ezequiel-Avila
Cédric Avinel,DF,Ajaccio,/en/players/a94d93be/Cedric-Avinel
Taiwo Awoniyi,FW,Nott'ham Forest,/en/players/e5478b87/Taiwo-Awoniyi
Mehmet-Can Aydin,DF,Schalke 04,/en/players/fe46e261/Mehmet-Can-Aydin
Jordan Ayew,FW,Crystal Palace,/en/players/da052c14/Jordan-Ayew
Kaan Ayhan,DF,Sassuolo,/en/players/2200181e/Kaan-Ayhan
Luke Ayling,DF,Leeds United,/en/players/420d7c7d/Luke-Ayling
Ayman Azhil,MF,Leverkusen,/en/players/ce81d82d/Ayman-Azhil
Sardar Azmoun,MF,Leverkusen,/en/players/10549b49/Sardar-Azmoun
César Azpilicueta,DF,Chelsea,/en/players/53cad200/Cesar-Azpilicueta
Sanoussy Ba,DF,RB Leipzig,/en/players/f582d5c1/Sanoussy-Ba
Iddrisu Baba,MF,Mallorca,/en/players/bfd381b3/Iddrisu-Baba
Srđan Babić,DF,Almería,/en/players/075fe5a3/Srdjan-Babic
